Date,SP500,iShares
1/4/2010,0.003115676,-0.001538768
1/5/2010,0.000545521,-0.007020333
1/6/2010,0.004001201,-0.003793761
1/7/2010,0.002881727,0.007616043
1/8/2010,0.001746755,-0.004809864
1/11/2010,-0.009381165,-0.012083552
1/12/2010,0.008325926,0.009260779
1/13/2010,0.002426425,0.007617569
1/14/2010,-0.01082313,-0.013573655
1/15/2010,0.012499626,0.015154183
1/19/2010,-0.010597829,-0.014584889
1/20/2010,-0.018944904,-0.009924982
1/21/2010,-0.022140988,-0.038867422
1/22/2010,0.004598098,0.007685204
1/25/2010,-0.004203199,-0.0012712
1/26/2010,0.004880152,0.006181794
1/27/2010,-0.011817741,-0.027827851
1/28/2010,-0.009829174,-0.024349463
1/29/2010,0.014266109,0.015812537
2/1/2010,0.012972948,0.008814777
2/2/2010,-0.005474311,0.003717952
2/3/2010,-0.031140678,-0.028338611
2/4/2010,0.002897119,0.01105608
2/5/2010,-0.00886329,-0.005279025
2/8/2010,0.013040133,0.012319886
2/9/2010,-0.002232574,-0.003744709
2/10/2010,0.009680438,0.013531416
2/11/2010,-0.002744593,0.001854431
2/12/2010,0.018000748,0.014621417
2/16/2010,0.00423796,0.004742888
2/17/2010,0.006584742,0.008896256
2/18/2010,0.002186622,-0.000720056
2/19/2010,-0.001045858,-0.002701372
2/22/2010,-0.012102809,-0.014264858
2/23/2010,0.009720459,0.009525445
2/24/2010,-0.00208104,-0.001632948
2/25/2010,0.001405379,0.000908738
2/26/2010,0.010158509,0.01307417
3/1/2010,0.002330443,-0.000896196
3/2/2010,0.000429201,0.001435351
3/3/2010,0.003736118,0.004120263
3/4/2010,0.014007481,0.012132266
3/5/2010,-0.000175596,0.002643867
3/8/2010,0.001712737,0.004570965
3/9/2010,0.00452456,0.006300495
3/10/2010,0.004041519,0.003652134
3/11/2010,-0.000217346,0.000519768
3/12/2010,0.000452195,-0.003463756
3/15/2010,0.007779116,0.008341966
3/16/2010,0.005821676,0.004308997
3/17/2010,-0.000325846,0.000857961
3/18/2010,-0.005086447,-0.008573569
3/19/2010,0.005095297,0.008820911
3/22/2010,0.007170967,0.010457606
3/23/2010,-0.005493304,-0.006108006
3/24/2010,-0.001704168,0.000854288
3/25/2010,0.000737723,-0.001877963
3/26/2010,0.005683235,0.000684258
3/29/2010,4.26595E-05,0.004615406
3/30/2010,-0.003272875,-0.006466196
3/31/2010,0.007413801,0.000856394
4/1/2010,0.00792799,0.012149688
4/5/2010,0.001684296,0.00169036
4/6/2010,-0.005876707,-0.002531817
4/7/2010,0.003374342,0.000507791
4/8/2010,0.006683907,0.007779344
4/9/2010,0.001766609,0.004195451
